1,77,10000000,10000000,20,1,64
2,91,10000000,10000000,20,2,90
3,97,10000000,10000000,20,3,99
4,94,10000000,10000000,20,4,94
5,94,10000000,10000000,20,5,94
6,92,10000000,10000000,20,6,94
7,92,10000000,10000000,20,7,92
8,89,10000000,10000000,20,8,92
9,90,10000000,10000000,20,9,93
10,97,10000000,10000000,20,10,96
11,98,10000000,10000000,20,11,95
12,93,10000000,10000000,20,12,95
13,96,10000000,10000000,20,13,97
14,92,10000000,10000000,20,14,94
15,92,10000000,10000000,20,15,92
16,92,10000000,10000000,20,16,94
17,95,10000000,10000000,20,17,97
18,102,10000000,10000000,20,18,101
19,106,10000000,10000000,20,19,108
20,108,10000000,10000000,20,20,109
21,109,10000000,10000000,20,21,113
22,113,10000000,10000000,20,22,115
23,113,10000000,10000000,20,23,112
24,115,10000000,10000000,20,24,113
25,112,10000000,10000000,20,25,111
26,107,10000000,10000000,20,26,111
27,107,10000000,10000000,20,27,109
28,105,10000000,10000000,20,28,105
29,102,10000000,10000000,20,29,103
30,101,10000000,10000000,20,30,105
31,99,10000000,10000000,20,31,101
32,100,10000000,10000000,20,32,99
33,99,10000000,10000000,20,33,100
34,98,10000000,10000000,20,34,99
35,98,10000000,10000000,20,35,101
36,98,10000000,10000000,20,36,102
37,102,10000000,10000000,20,37,100
38,100,10000000,10000000,20,38,100
39,101,10000000,10000000,20,39,102
40,101,10000000,10000000,20,40,102
41,99,10000000,10000000,20,41,103
42,100,10000000,10000000,20,42,102
43,102,10000000,10000000,20,43,104
44,101,10000000,10000000,20,44,104
45,102,10000000,10000000,20,45,106
46,103,10000000,10000000,20,46,102
47,101,10000000,10000000,20,47,104
48,100,10000000,10000000,20,48,107
49,101,10000000,10000000,20,49,106
50,101,10000000,10000000,20,50,101
51,101,10000000,10000000,20,51,104
52,101,10000000,10000000,20,52,103
53,101,10000000,10000000,20,53,101
54,103,10000000,10000000,20,54,103
55,102,10000000,10000000,20,55,102
56,100,10000000,10000000,20,56,105
57,100,10000000,10000000,20,57,104
58,101,10000000,10000000,20,58,99
59,100,10000000,10000000,20,59,103
60,100,10000000,10000000,20,60,104
61,100,10000000,10000000,20,61,100
62,99,10000000,10000000,20,62,103
63,100,10000000,10000000,20,63,103
64,98,10000000,10000000,20,64,104
